Method,Group,Value,Family,Outcome,Label,Direction,Threshold,Model,Fold
Impurity,Income,0.4362862344026024,Relative,DV1,Up 10 pp,Up,10,Gradient Boosting,2
Impurity,Wealth,0.16633514784657244,Relative,DV1,Up 10 pp,Up,10,Gradient Boosting,2
Impurity,Education,0.043932880732523966,Relative,DV1,Up 10 pp,Up,10,Gradient Boosting,2
Impurity,Demographics,0.17460620122953152,Relative,DV1,Up 10 pp,Up,10,Gradient Boosting,2
Impurity,Family / employment,0.05440307974548284,Relative,DV1,Up 10 pp,Up,10,Gradient Boosting,2
Impurity,Occupation,0.04219582416111867,Relative,DV1,Up 10 pp,Up,10,Gradient Boosting,2
Impurity,Industry,0.03863451075996328,Relative,DV1,Up 10 pp,Up,10,Gradient Boosting,2
Impurity,Geography,0.04360612112220495,Relative,DV1,Up 10 pp,Up,10,Gradient Boosting,2
Permutation,Income,0.2009849273894883,Relative,DV1,Up 10 pp,Up,10,Gradient Boosting,2
Permutation,Wealth,-0.006443796128070822,Relative,DV1,Up 10 pp,Up,10,Gradient Boosting,2
Permutation,Education,0.00013762917142199905,Relative,DV1,Up 10 pp,Up,10,Gradient Boosting,2
Permutation,Demographics,0.015113803936729587,Relative,DV1,Up 10 pp,Up,10,Gradient Boosting,2
Permutation,Family / employment,0.004607064154553281,Relative,DV1,Up 10 pp,Up,10,Gradient Boosting,2
Permutation,Occupation,-0.002372833591783391,Relative,DV1,Up 10 pp,Up,10,Gradient Boosting,2
Permutation,Industry,-0.0044933596795227685,Relative,DV1,Up 10 pp,Up,10,Gradient Boosting,2
Permutation,Geography,0.004202072151559211,Relative,DV1,Up 10 pp,Up,10,Gradient Boosting,2
SHAP,Income,0.4200718856471147,Relative,DV1,Up 10 pp,Up,10,Gradient Boosting,2
SHAP,Wealth,0.10720385047558152,Relative,DV1,Up 10 pp,Up,10,Gradient Boosting,2
SHAP,Education,0.07971758413550802,Relative,DV1,Up 10 pp,Up,10,Gradient Boosting,2
SHAP,Demographics,0.12661685975987352,Relative,DV1,Up 10 pp,Up,10,Gradient Boosting,2
SHAP,Family / employment,0.07620983398035308,Relative,DV1,Up 10 pp,Up,10,Gradient Boosting,2
SHAP,Occupation,0.0586637328446902,Relative,DV1,Up 10 pp,Up,10,Gradient Boosting,2
SHAP,Industry,0.06522286173607997,Relative,DV1,Up 10 pp,Up,10,Gradient Boosting,2
SHAP,Geography,0.06629339142079901,Relative,DV1,Up 10 pp,Up,10,Gradient Boosting,2
Impurity,Income,0.39146202706921684,Relative,DV1,Up 10 pp,Up,10,Gradient Boosting,3
Impurity,Wealth,0.09292137214345468,Relative,DV1,Up 10 pp,Up,10,Gradient Boosting,3
Impurity,Education,0.04388840681924232,Relative,DV1,Up 10 pp,Up,10,Gradient Boosting,3
Impurity,Demographics,0.16060127985383096,Relative,DV1,Up 10 pp,Up,10,Gradient Boosting,3
Impurity,Family / employment,0.07978072022356611,Relative,DV1,Up 10 pp,Up,10,Gradient Boosting,3
Impurity,Occupation,0.08302276514272412,Relative,DV1,Up 10 pp,Up,10,Gradient Boosting,3
