Family,Outcome,Label,Model,Fold,InnerAUC,BestParameters
Relative,DV6,Down 20 pp,Random Forest,4,0.6800356065981777,"{""n_estimators"": 350, ""max_depth"": null, ""max_features"": 0.5, ""min_samples_leaf"": 10, ""criterion"": ""entropy""}"
Relative,DV6,Down 20 pp,Random Forest,5,0.6927790903250176,"{""n_estimators"": 350, ""max_depth"": null, ""max_features"": 0.5, ""min_samples_leaf"": 10, ""criterion"": ""entropy""}"
Relative,DV6,Down 20 pp,Gradient Boosting,1,0.6843009683974444,"{""n_estimators"": 250, ""learning_rate"": 0.03, ""max_depth"": 3, ""max_features"": null, ""min_samples_leaf"": 10, ""subsample"": 0.8}"
Relative,DV6,Down 20 pp,Gradient Boosting,2,0.639873277324563,"{""n_estimators"": 180, ""learning_rate"": 0.05, ""max_depth"": 3, ""max_features"": ""log2"", ""min_samples_leaf"": 5, ""subsample"": 0.8}"
Relative,DV6,Down 20 pp,Gradient Boosting,3,0.6774485952889001,"{""n_estimators"": 250, ""learning_rate"": 0.03, ""max_depth"": 3, ""max_features"": null, ""min_samples_leaf"": 10, ""subsample"": 0.8}"
Relative,DV6,Down 20 pp,Gradient Boosting,4,0.6673802508043906,"{""n_estimators"": 250, ""learning_rate"": 0.03, ""max_depth"": 2, ""max_features"": ""sqrt"", ""min_samples_leaf"": 10, ""subsample"": 1.0}"
Relative,DV6,Down 20 pp,Gradient Boosting,5,0.6981842196744271,"{""n_estimators"": 250, ""learning_rate"": 0.03, ""max_depth"": 3, ""max_features"": null, ""min_samples_leaf"": 10, ""subsample"": 0.8}"
Relative,DV7,Down 30 pp,Random Forest,1,0.673992342301704,"{""n_estimators"": 350, ""max_depth"": null, ""max_features"": 0.5, ""min_samples_leaf"": 10, ""criterion"": ""entropy""}"
Relative,DV7,Down 30 pp,Random Forest,2,0.6657293530029008,"{""n_estimators"": 350, ""max_depth"": null, ""max_features"": 0.5, ""min_samples_leaf"": 10, ""criterion"": ""entropy""}"
Relative,DV7,Down 30 pp,Random Forest,3,0.6705390743648126,"{""n_estimators"": 350, ""max_depth"": 10, ""max_features"": ""log2"", ""min_samples_leaf"": 10, ""criterion"": ""gini""}"
Relative,DV7,Down 30 pp,Random Forest,4,0.6553451989974329,"{""n_estimators"": 350, ""max_depth"": null, ""max_features"": 0.5, ""min_samples_leaf"": 10, ""criterion"": ""entropy""}"
Relative,DV7,Down 30 pp,Random Forest,5,0.6659126358493533,"{""n_estimators"": 350, ""max_depth"": null, ""max_features"": 0.5, ""min_samples_leaf"": 10, ""criterion"": ""entropy""}"
Relative,DV7,Down 30 pp,Gradient Boosting,1,0.6759927940147055,"{""n_estimators"": 250, ""learning_rate"": 0.03, ""max_depth"": 3, ""max_features"": null, ""min_samples_leaf"": 10, ""subsample"": 0.8}"
Relative,DV7,Down 30 pp,Gradient Boosting,2,0.6615445137462542,"{""n_estimators"": 250, ""learning_rate"": 0.03, ""max_depth"": 3, ""max_features"": null, ""min_samples_leaf"": 10, ""subsample"": 0.8}"
Relative,DV7,Down 30 pp,Gradient Boosting,3,0.6859962857684495,"{""n_estimators"": 250, ""learning_rate"": 0.03, ""max_depth"": 3, ""max_features"": null, ""min_samples_leaf"": 10, ""subsample"": 0.8}"
Relative,DV7,Down 30 pp,Gradient Boosting,4,0.6510925679077274,"{""n_estimators"": 250, ""learning_rate"": 0.03, ""max_depth"": 3, ""max_features"": null, ""min_samples_leaf"": 10, ""subsample"": 0.8}"
Relative,DV7,Down 30 pp,Gradient Boosting,5,0.6660126903777598,"{""n_estimators"": 150, ""learning_rate"": 0.05, ""max_depth"": 2, ""max_features"": ""sqrt"", ""min_samples_leaf"": 5, ""subsample"": 1.0}"
Relative,DV8,Down 40 pp,Random Forest,1,0.5866389633413452,"{""n_estimators"": 350, ""max_depth"": null, ""max_features"": 0.5, ""min_samples_leaf"": 10, ""criterion"": ""entropy""}"
Relative,DV8,Down 40 pp,Random Forest,2,0.6544868500454698,"{""n_estimators"": 350, ""max_depth"": null, ""max_features"": 0.5, ""min_samples_leaf"": 10, ""criterion"": ""entropy""}"
Relative,DV8,Down 40 pp,Random Forest,3,0.6425691660288201,"{""n_estimators"": 350, ""max_depth"": 10, ""max_features"": ""log2"", ""min_samples_leaf"": 10, ""criterion"": ""gini""}"
Relative,DV8,Down 40 pp,Random Forest,4,0.6246910224493769,"{""n_estimators"": 350, ""max_depth"": null, ""max_features"": 0.5, ""min_samples_leaf"": 10, ""criterion"": ""entropy""}"
Relative,DV8,Down 40 pp,Random Forest,5,0.6659584560220387,"{""n_estimators"": 350, ""max_depth"": null, ""max_features"": 0.5, ""min_samples_leaf"": 10, ""criterion"": ""entropy""}"
Relative,DV8,Down 40 pp,Gradient Boosting,1,0.5963246240609145,"{""n_estimators"": 250, ""learning_rate"": 0.03, ""max_depth"": 3, ""max_features"": null, ""min_samples_leaf"": 10, ""subsample"": 0.8}"
Relative,DV8,Down 40 pp,Gradient Boosting,2,0.6674903963441667,"{""n_estimators"": 250, ""learning_rate"": 0.03, ""max_depth"": 3, ""max_features"": null, ""min_samples_leaf"": 10, ""subsample"": 0.8}"
Relative,DV8,Down 40 pp,Gradient Boosting,3,0.6408913428509077,"{""n_estimators"": 250, ""learning_rate"": 0.03, ""max_depth"": 3, ""max_features"": null, ""min_samples_leaf"": 10, ""subsample"": 0.8}"
Relative,DV8,Down 40 pp,Gradient Boosting,4,0.6062499976929224,"{""n_estimators"": 250, ""learning_rate"": 0.03, ""max_depth"": 3, ""max_features"": null, ""min_samples_leaf"": 10, ""subsample"": 0.8}"
Relative,DV8,Down 40 pp,Gradient Boosting,5,0.6498776511525525,"{""n_estimators"": 250, ""learning_rate"": 0.03, ""max_depth"": 3, ""max_features"": null, ""min_samples_leaf"": 10, ""subsample"": 0.8}"
Parent-child absolute,I1,Up $5k,Random Forest,1,0.7380576179915176,"{""n_estimators"": 350, ""max_depth"": null, ""max_features"": 0.5, ""min_samples_leaf"": 10, ""criterion"": ""entropy""}"
Parent-child absolute,I1,Up $5k,Random Forest,2,0.7177045435877382,"{""n_estimators"": 250, ""max_depth"": 10, ""max_features"": ""sqrt"", ""min_samples_leaf"": 5, ""criterion"": ""entropy""}"
Parent-child absolute,I1,Up $5k,Random Forest,3,0.7207581891482412,"{""n_estimators"": 250, ""max_depth"": 10, ""max_features"": ""sqrt"", ""min_samples_leaf"": 5, ""criterion"": ""entropy""}"
Parent-child absolute,I1,Up $5k,Random Forest,4,0.7083432686791277,"{""n_estimators"": 250, ""max_depth"": 10, ""max_features"": ""sqrt"", ""min_samples_leaf"": 5, ""criterion"": ""entropy""}"
