Family,Outcome,Label,Direction,Threshold,Model,Method,Group,Value,FoldSD,Rank
Benchmark,A4,Up $20k,Up,20000,Gradient Boosting,Impurity,Industry,0.02512463418267379,0.007425457984094817,6.0
Benchmark,A4,Up $20k,Up,20000,Gradient Boosting,Impurity,Occupation,0.05203828902338409,0.01820583328255025,5.0
Benchmark,A4,Up $20k,Up,20000,Gradient Boosting,Impurity,Wealth,0.2832262581711166,0.05066778247894824,1.0
Benchmark,A4,Up $20k,Up,20000,Gradient Boosting,Permutation,Demographics,0.06258897275719708,0.005687216168936249,1.0
Benchmark,A4,Up $20k,Up,20000,Gradient Boosting,Permutation,Education,0.013253651583955597,0.002838071468688472,4.0
Benchmark,A4,Up $20k,Up,20000,Gradient Boosting,Permutation,Family / employment,-0.0012235778224670923,0.00137267695033359,7.0
Benchmark,A4,Up $20k,Up,20000,Gradient Boosting,Permutation,Geography,0.0002456871315169896,0.003188009440431826,5.0
Benchmark,A4,Up $20k,Up,20000,Gradient Boosting,Permutation,Income,0.034599776035933304,0.011507305529541654,2.0
Benchmark,A4,Up $20k,Up,20000,Gradient Boosting,Permutation,Industry,-0.0029524980402101486,0.0027695195505675137,8.0
Benchmark,A4,Up $20k,Up,20000,Gradient Boosting,Permutation,Occupation,-0.0009363911698776218,0.004302058849266449,6.0
Benchmark,A4,Up $20k,Up,20000,Gradient Boosting,Permutation,Wealth,0.024881518755589388,0.008460347533086667,3.0
Benchmark,A4,Up $20k,Up,20000,Gradient Boosting,SHAP,Demographics,0.30228777807169244,0.030463153345845508,1.0
Benchmark,A4,Up $20k,Up,20000,Gradient Boosting,SHAP,Education,0.14245379468416303,0.012666208456178036,4.0
Benchmark,A4,Up $20k,Up,20000,Gradient Boosting,SHAP,Family / employment,0.017553102959031258,0.008563033195806221,8.0
Benchmark,A4,Up $20k,Up,20000,Gradient Boosting,SHAP,Geography,0.044770430261548214,0.022830766957312804,6.0
Benchmark,A4,Up $20k,Up,20000,Gradient Boosting,SHAP,Income,0.19729821009419823,0.027346262421841794,2.0
Benchmark,A4,Up $20k,Up,20000,Gradient Boosting,SHAP,Industry,0.03946076250688665,0.011391880402908568,7.0
